,Unnamed: 0,content,label,pred,string_label,string_pred,loss
0,3,متل ما انت بلبنان صوره طبق الأصل لا تتقن إلا طول اللسان ,0.0,1.0,abusive,normal,8.550646781921387
1,15,ياعيب الشوم على قلة الحياء ,1.0,0.0,normal,abusive,8.180631637573242
2,16,وان أتى الصبر بال ز مش بال ص ، فماذا تفعل؟ ,0.0,1.0,abusive,normal,8.546629905700684
3,23,لا شيطان إلا أنت يا وهاب ,0.0,1.0,abusive,normal,3.432326078414917
4,24,شوي شوي علينا بالتغريدات مش عم نلحق نقرا ردود المسخره عليك كلها ,1.0,0.0,normal,abusive,5.807221412658691
5,32,كلكم أذناب من نفس الفصيلة ,0.0,2.0,abusive,hate,1.5031733512878418
6,49,اذا بري راس الافعى الطائفية شو خليت لأسود القلب ولجبران باسيل طالعين نازلين المسحيين كذ…,2.0,0.0,hate,abusive,4.250298023223877
7,57,عشيرة عجول الها اول ما الها آخر,1.0,2.0,normal,hate,6.93448543548584
8,63,انت لازم يقصولك لسانك قبل ان تدمر نفسك   ,0.0,1.0,abusive,normal,0.8401089906692505
9,64,فشرتي يا قواتجية يلي كنتي توقفي عالحاجز وتاخدي منا ربطة الخبز اعرفتك من عيونك,0.0,2.0,abusive,hate,7.147982120513916
10,66,ما انت والرئيس من فرد خميرة، واللي جاب الرئيس، وقفك على اجريك ، وماشيين سوا بمخطط التفرقة ,1.0,0.0,normal,abusive,6.782626628875732
11,67,لو من تلفزيون الجديد مين بيسمع فيك انت يلعن الساعة عا هيك إعلام مفتن ,1.0,0.0,normal,abusive,8.277153015136719
12,75,كلكم خروات يا حكام العرب ومخابراتهم وبيجوا اولاد الكلب بقولولك يعني شو البديل يجو الاخوان والقاعدة لو يجو ويدبحوكن واحد واحد بسكينة مصدية قليل عليكون,0.0,2.0,abusive,hate,5.892341613769531
13,80,مي شيدياق ناحسة سما هالحكومة يا جماعة غيروها بركي بيمشي الحال,2.0,1.0,hate,normal,8.53557014465332
14,84,بعدك عم تعوي يا كلب معراب يلا كوش ولاك مش عم نلحقلكن عضام العمى,0.0,2.0,abusive,hate,6.858590602874756
15,87,و الله يا رفيق كل مرة بقول ل حالي الا ما تزبط بس بنت الشؤسمو ماعم تزبط,1.0,0.0,normal,abusive,5.345791339874268
16,91,اضحكني لك اصحى يا طشم بجوز كلكم تسقطوا ههههه لعنكم الله انتو والملالي,0.0,2.0,abusive,hate,5.836055278778076
17,111,يا عم ليه عم تشولح زبالتك من شباك السيارة لأن بطبعي نضايفي وما بطيق شوف زبالة  ,1.0,0.0,normal,abusive,7.7168426513671875
18,114,باقيين لحتى نموتكن من القهر انتو جماعة معراب وعلى طول قارطينكن,1.0,2.0,normal,hate,7.740779399871826
19,122,انت رمز للفتنة وللتبعية و انت محرض للانشقاق اذا كنت غاوي لعب في السياسة فهذا شئ يعنيك انما اقحام الدين ,1.0,0.0,normal,abusive,2.804386615753174
20,124,شو محشش هيدا,1.0,0.0,normal,abusive,6.787882328033447
21,128,هدول مستعدين يقتلوا الناس هيك شروي غروي لازم نقتلون كلن,2.0,1.0,hate,normal,7.7896318435668945
22,131,في نوع هبل بيطلّع الواحد من تيابو,1.0,0.0,normal,abusive,1.673749327659607
23,133,الاجدب اهوه اسمه جبران باسيل الله يخلف على اللبنانيين ولبنانهم خير    ,0.0,1.0,abusive,normal,8.498434066772461
24,146,صحيح كان يجب ان يحضر ذلك الذي زرع الورود وضمد الجراح وواكب الشهداء سفاح وقاتل الاطفال كفاكم كذب ,1.0,0.0,normal,abusive,4.514225482940674
25,149,دئما يلحق بك الدمااار ,0.0,1.0,abusive,normal,8.537409782409668
26,181,للأمانة ينتابني شعور بالتقيىء والقرف عندما يأتي أسمكم على مخيلتي معالي الوزير خصوصا عندما استذكر اللغة… ,0.0,1.0,abusive,normal,8.576647758483887
27,184,كنت بدي استعمل جملة و انت الصادق بس معك ما فيني استعملها لانك ما بتعرف شي عن الصدق ف رح قول و انت الكذاب لو… ,0.0,1.0,abusive,normal,8.216712951660156
28,194,يبدو أن أسيادك في دمشق يؤلمهم الخازوق القطري ومنزعجين من الموقف اللبناني الرسمي مما يفسر ارتفاع حدة صراخك ,0.0,1.0,abusive,normal,6.362951755523682
29,201,بيلبقلو يا بس انت واسيادك الاقزام بتحاولوا تكبروا حالكم لما بتنتقدوا امام الأمة وسيدها وحامي كرامتها يا بلا كرامة,1.0,0.0,normal,abusive,6.021832466125488
30,227,مي شدياق انتهت صلاحيتك بين الرجال ما عاد الك منفعة هههههه خرسي بقا حطي إيدك البلاستيك ب,2.0,1.0,hate,normal,8.501615524291992
31,233,بس لو بتصلح ضابط سوي ل ضابط سوري يا طنبر الجاهلية يعق ,0.0,2.0,abusive,hate,6.834988117218018
32,235,برافو هكذا انتم خواريف الزعيم وانت يا حسين خاااااروف ماااااء,2.0,0.0,hate,abusive,6.730312824249268
33,236,صفتو بمسح صرامي ع باب المطار ,0.0,1.0,abusive,normal,6.557758808135986
34,239,حكومة الحمدين وأضف لهم وزير خارجية لبنان جبران باسيل كلهم كذابين,1.0,2.0,normal,hate,7.6337432861328125
35,246,نعم وئام هذا من اخبث البشر وحليف دائم لحسن زميرة وخامنئي فكيف يكون وطني هو الى الفرس ,0.0,2.0,abusive,hate,5.5958991050720215
36,247,مينك انت شو تاريخك شو ماضيك شو أصلك شو فصلك اللي بيشغلوك بيستحوا فيك مين انت يا صغير يا بلا تهذيب يا ,1.0,0.0,normal,abusive,4.394759178161621
37,248,لهجة شاوية فصحى,2.0,1.0,hate,normal,7.239110946655273
38,250,الحمد لله كل من يعرف تاريخه جزمة ابن ستين جزمة حريمي يامرتزق ,0.0,2.0,abusive,hate,6.968892574310303
39,255,صادق يا أخي الكريم حزب الشياطين والحمدين ورطقعان وجهان لعمله واحده ,0.0,2.0,abusive,hate,7.309013366699219
40,276,هيدا اسلوبهم بالحوار متل معلمهم معودين عحوار الصرامي ,2.0,0.0,hate,abusive,7.062327861785889
41,294,يس الله بلاهن بحكومة خرى,0.0,2.0,abusive,hate,5.727077484130859
42,301,جبران باسيل اكثر الساسة نفاقا,0.0,1.0,abusive,normal,3.9008901119232178
43,311,كان بدري عّم يقبض حق تغريدته مبارح ضد قطر   ,0.0,1.0,abusive,normal,8.52238941192627
44,314,بحكيكي بالشرق بتجاوبي بالغرب,0.0,1.0,abusive,normal,8.653841018676758
45,318,مرتزق ايراني ,0.0,2.0,abusive,hate,1.5203055143356323
46,328,ولا واحد من الحمير العرب القامعين على السلطة انحنوا لا لكبير ولا لصغير,0.0,2.0,abusive,hate,7.05597734451294
47,332,مشكلة جبران باسيل انه يخلط لا بل يبدي مصلحته الشخصية السياسية الوصول الى الكرسي الراءسي باي ثمن منتعلا جزمتي حسن وبشار…,1.0,0.0,normal,abusive,6.4619646072387695
48,334,شو النوع يلي ضاربو ههههههههههه ,0.0,1.0,abusive,normal,8.286686897277832
49,339,نسيت شكرا قطر ؟ طول عمرك بتاكل وبتنكر مثل أسيادك ,1.0,0.0,normal,abusive,1.7906739711761477
50,386,عقبال يغرقوا التنين بالمجارير,0.0,1.0,abusive,normal,8.6940279006958
51,391,انت عم تغردي من كباريهات الاهرامات 🤔😂,0.0,1.0,abusive,normal,7.946361064910889
52,412,انا مع جبران باسيل نكاية بي رب العالم كلن,0.0,1.0,abusive,normal,8.690524101257324
53,420,صار ضروري يطلع قرار يمنع فيه ذكر اسم جبران باسيل من قبل خفاف العقل والذهن المريض لانه يسبب هلوسات…,0.0,1.0,abusive,normal,8.603751182556152
54,430,أه يا هبيلة عفوا يا عميلة وهابية على يهودية على سفارات,0.0,2.0,abusive,hate,6.372931003570557
55,441,يهودي منهم وفيهم,1.0,2.0,normal,hate,7.585906982421875
56,458,مارسيل غانم انتحر إعلامياً للتو ظهر عن طريق الخطأ بالبث المباشر على فايسبوك في غفلة منه وبتوقيت قاتل ركز على آخر المقطع هذا ديدن اللبنانيين اللسان عسل و القلب قذر ,2.0,1.0,hate,normal,8.07218074798584
57,459,لو في دولة بتحترم حالها على قولتك كنت المفروض عم تحكي من سجن رومية من تلفون ابو لمبة يا وهابو  حط ضبان وحكي على قدك     ,0.0,1.0,abusive,normal,7.317392826080322
58,467,لله درك شد عليهم ولا ترحمهم الخونه,1.0,0.0,normal,abusive,4.91079568862915
59,497,جبران باسيل و الحفّاظة وجهان لفائدة واحدة,0.0,1.0,abusive,normal,8.646344184875488
60,503,لا حبيبي مش كذاب بيسوى رقبتك جبران باسيل بالقليلي ما بيلعب بي صبيع اجرو,1.0,0.0,normal,abusive,7.706700325012207
61,508,كل شي بالزايد بالمعنى نقص طخنت كتير صرت مهزلة بعيون العالم العقاب لوهاب وهاب قاتل ابو دياب ,1.0,0.0,normal,abusive,5.924510002136231
62,511,وانت من اين لك هذا ع بنا ابوك معتر مساعد قاعد عم تطلع بشكلات الناس من وين الك كل هالاملاك والمصاري  ,1.0,0.0,normal,abusive,5.09068489074707
63,512,هدول جحاش القوات الجوية هههههههه,0.0,2.0,abusive,hate,1.1313741207122805
64,518,منوره ست الستات، ويلي مش عاجبتو ديما، ايه خلي ينقبر ومن راسو يقيما,1.0,0.0,normal,abusive,7.30616283416748
65,521,مشيخة السرقة وباكاوية النهب والكذب والدجل والعمالة ,2.0,1.0,hate,normal,1.2464925050735474
66,522,تشبه اليهود,2.0,1.0,hate,normal,6.807339668273926
67,529,قبل ما يموت كزا واحد من آل سعود رئيسنا ما راح يموت والله ليجننكم ولح تبوسي صرماية كل سوري يا هبلة,0.0,2.0,abusive,hate,6.271581649780273
68,532,لن ينسى أهل سوريا المجرم أبو صووايخ اللي بدو يحرر القدس بس يخلص أول على نساء وأطفال سوريا ,1.0,0.0,normal,abusive,2.994106769561768
